scenario,frequency_hz,metric,value,same_frequency_other_mean,same_frequency_other_std,percentile_vs_other_scenarios,z_vs_other_scenarios,completion_variant
s01,80,Tw,1.3836498413801193,1.1712339402703167,0.05997694429486814,100.0,3.5416259298821546,c0x09
s01,80,Tdot,0.32757873493194584,0.0960346554611042,0.05921026801213493,100.0,3.9105392906410676,c0x09
s01,80,delta,9.300405514526366,3.67406301465648,2.052588642904724,94.11764705882354,2.741095990820527,c0x09
s01,80,delta_dot,59.433350240478504,9.374307872155123,5.916436544349913,100.0,8.461012299055051,c0x09
s03,40,Tw,1.180565859375,1.1669159647850784,0.06662321922384139,82.3529411764706,0.20488194279625604,c0x09
s03,40,Tdot,0.30740240494656873,0.09377596786236667,0.041116975334787954,100.0,5.195577625659117,c0x09
s03,40,delta,6.739929917907715,4.845738502651842,2.797592329907697,76.47058823529412,0.6770791423060449,c0x09
s03,40,delta_dot,49.92633698445881,12.203507905862594,9.844378810698728,100.0,3.8319156346969896,c0x09
s19,40,Tw,1.2880418510742189,1.1669159647850784,0.06662321922384139,94.11764705882354,1.818073153778121,c0x09
s19,40,Tdot,0.231679893548584,0.09377596786236667,0.041116975334787954,100.0,3.353941396791913,c0x09
s19,40,delta,5.399959341796875,4.845738502651842,2.797592329907697,70.58823529411765,0.19810636211006455,c0x09
s19,40,delta_dot,34.969898697143556,12.203507905862594,9.844378810698728,94.11764705882354,2.3126284785525297,c0x09
s01,80,Tw,1.1558642509460448,1.1712339402703167,0.05997694429486814,64.70588235294117,-0.25625995963897313,c0x11
s01,80,Tdot,0.8764498769760132,0.0960346554611042,0.05921026801213493,100.0,13.180403462368481,c0x11
s01,80,delta,4.897625856399536,3.67406301465648,2.052588642904724,82.3529411764706,0.5961071868796511,c0x11
s01,80,delta_dot,74.87992858886717,9.374307872155123,5.916436544349913,100.0,11.071803141245333,c0x11
s03,40,Tw,1.2163290996551515,1.1669159647850784,0.06662321922384139,82.3529411764706,0.7416803847927893,c0x11
s03,40,Tdot,0.2315438232421875,0.09377596786236667,0.041116975334787954,100.0,3.350632050584207,c0x11
s03,40,delta,8.66274169921875,4.845738502651842,2.797592329907697,88.23529411764706,1.3643886408184585,c0x11
s03,40,delta_dot,69.73223090171813,12.203507905862594,9.844378810698728,100.0,5.843814434825908,c0x11
s19,40,Tw,1.5619140625,1.1669159647850784,0.06662321922384139,100.0,5.928835356751569,c0x11
s19,40,Tdot,0.14287109375,0.09377596786236667,0.041116975334787954,88.23529411764706,1.1940354437038392,c0x11
s19,40,delta,2.7018750000000002,4.845738502651842,2.797592329907697,11.764705882352942,-0.7663244854272873,c0x11
s19,40,delta_dot,28.779609374999996,12.203507905862594,9.844378810698728,88.23529411764706,1.6838138584349005,c0x11
