completion_variant,metric,completion_mean,other_mean,other_std,z_vs_other,completion_median,other_median,completion_min,completion_max,other_min,other_max
c0x09,Tw,1.216360070965153,1.1807077472214937,0.07054502502268084,0.5053839548883383,1.182686225860119,1.1480293845176697,1.1308866073646398,1.3877189046859741,1.1207922821162768,1.3824096728515627
c0x09,Tdot,0.1738145340364846,0.10877382655754488,0.05853398924710634,1.1111613665073248,0.15239792256034446,0.09078055049733819,0.07824247446550864,0.32757873493194584,0.023314073540357385,0.2754541571952123
c0x09,delta,6.430539513220128,4.521193119061357,2.1292113516254902,0.8967387820383033,5.961096694264416,3.587082318892479,3.4872583007812503,11.19887433082913,2.111548324584961,11.656580648148806
c0x09,delta_dot,34.8128220915295,12.151404877203783,7.9253606433503005,2.8593547012071387,36.34514602741781,8.948318606955556,5.791378154754639,88.42576681114556,3.8116378784179683,37.3640625
c0x09,mean_score,1.0120661525023051,1.005798609955061,0.005721426891776605,1.0954509540709798,1.0082399847312906,1.0039972466751397,1.0055709961907495,1.0223874765848755,1.0001926091915205,1.0184426731143799
c0x09,average_rank,3.5,3.5,0.0,,3.5,3.5,3.5,3.5,3.5,3.5
c0x09,top3_count,3.0,3.0,0.0,,3,3,3,3,3,3
c0x11,Tw,1.2209072854802563,1.1807077472214937,0.07054502502268084,0.5698422850631641,1.1804731963276862,1.1480293845176697,1.1308866073646398,1.5619140625,1.1207922821162768,1.3824096728515627
c0x11,Tdot,0.19515918739987917,0.10877382655754488,0.05853398924710634,1.4758153673355658,0.1472588318882091,0.09078055049733819,0.07824247446550864,0.8764498769760132,0.023314073540357385,0.2754541571952123
c0x11,delta,6.142869945519424,4.521193119061357,2.1292113516254902,0.761632622905209,5.670261587004498,3.587082318892479,2.7018750000000002,11.19887433082913,2.111548324584961,11.656580648148806
c0x11,delta_dot,36.42738781061307,12.151404877203783,7.9253606433503005,3.0630761205520436,33.25000136634603,8.948318606955556,5.791378154754639,88.42576681114556,3.8116378784179683,37.3640625
c0x11,mean_score,1.010118529663877,1.005754702024135,0.0056708830224915545,0.7695146633133477,1.0093479349732646,1.0039548212506189,1.0050883658931744,1.0159192881251922,1.000190553278174,1.0182660475575354
c0x11,average_rank,3.5,3.5,0.0,,3.5,3.5,3.5,3.5,3.5,3.5
c0x11,top3_count,3.0,3.0,0.0,,3,3,3,3,3,3
